ID_CLIENTE,QTD_SOL_LAST_30D,DAYS_SINCE_LAST,N_UNIQUE_DATES,QTD_REGISTROS_CLIENTE,JA_TENTOU_CANCELAR_max,QTD_FINANCEIRO_mean,QTD_SUPORTE_TECNICO_mean,QTD_OUTROS_mean,QTD_ADMINISTRATIVO_mean,TAXA_CONTATO_DIA
141222,4,9,16,27,1,9,10,3,2,27
195220,1,30,3,4,0,4,0,0,0,4
188094,0,130,8,10,0,3,4,2,0,10
79801,1,11,15,19,1,0,9,5,4,19
149685,1,16,23,25,0,14,8,0,0,25
117480,1,10,7,7,1,2,4,0,0,7
78362,0,53,7,7,0,4,2,1,0,7
157022,0,39,22,25,1,19,4,0,1,25
123344,2,7,38,49,1,35,3,3,0,49
196229,0,34,2,3,0,3,0,0,0,3
144918,1,18,13,21,0,14,3,4,0,21
180958,0,130,7,10,0,1,0,5,4,10
94684,2,8,48,59,1,33,13,2,5,59
153532,0,31,16,21,1,6,6,1,2,21
54665,2,8,47,51,0,32,17,1,1,51
177672,3,11,16,18,1,10,1,1,0,18
183397,0,79,23,26,0,6,13,4,2,26
181125,1,17,21,22,0,16,0,3,2,22
175350,3,14,33,46,1,28,9,2,4,46
185163,0,151,10,10,0,5,2,3,0,10
158485,0,309,15,17,0,14,2,0,0,17
77751,0,99,13,15,1,4,4,3,1,15
134526,0,214,5,12,1,2,3,2,0,12
140571,0,35,27,38,0,30,3,4,1,38
107376,1,30,4,5,1,3,0,1,0,5
179178,3,2,28,33,1,21,5,1,0,33
155835,1,3,21,28,1,11,12,3,1,28
93368,0,98,18,20,1,12,4,2,0,20
188727,0,121,3,3,1,0,2,0,0,3
139091,0,377,1,4,1,0,0,3,0,4
163165,0,62,37,47,1,34,7,4,0,47
186265,1,28,17,23,1,15,3,4,0,23
191671,0,56,6,7,1,1,3,1,1,7
116354,0,171,18,20,1,15,3,1,0,20
140101,0,252,9,12,0,5,5,1,1,12
187397,1,0,11,16,1,13,1,0,0,16
28353,0,83,9,9,0,1,6,1,0,9
164999,0,106,10,11,0,6,4,0,1,11
78036,4,8,61,79,1,45,22,3,4,79
115609,3,3,35,48,1,14,3,6,8,48
186625,0,177,2,2,0,2,0,0,0,2
154666,4,6,22,25,1,8,11,1,1,25
181149,0,527,3,3,0,2,0,0,1,3
171974,0,65,9,10,0,5,2,1,2,10
157879,4,7,56,79,1,45,13,8,2,79
188540,2,9,22,35,1,7,7,12,1,35
